
    PO_StorageStatus(iTime,iStorageStatus) := data table 
                       Generation      Charge   Discharge
                    !  ----------  ----------  ----------
'2015-07-01 00:00:00'    3805.993    6026.007            
'2015-07-01 00:05:00'    3744.303    6015.879            
'2015-07-01 00:10:00'    3794.303    5553.269            
'2015-07-01 00:15:00'    3810.575    5605.244            
'2015-07-01 00:20:00'    3862.362    5471.024            
'2015-07-01 00:25:00'    3916.826    5562.039            
'2015-07-01 00:30:00'    3718.361    5768.552            
'2015-07-01 00:35:00'    3901.377    5306.459            
'2015-07-01 00:40:00'    3701.384    5269.971            
'2015-07-01 00:45:00'    3669.554    5423.720            
'2015-07-01 00:50:00'    3681.378    5505.119            
'2015-07-01 00:55:00'    3801.724    4698.897            
'2015-07-01 01:00:00'    3745.581    5104.419            
'2015-07-01 01:05:00'    3852.465    4928.307            
'2015-07-01 01:10:00'    3772.013    4681.276            
'2015-07-01 01:15:00'    3846.446    5009.878            
'2015-07-01 01:20:00'    3638.638    5031.808            
'2015-07-01 01:25:00'    3817.720    4690.346            
'2015-07-01 01:30:00'    3656.684    4744.170            
'2015-07-01 01:35:00'    3710.990    4853.533            
'2015-07-01 01:40:00'    3581.149    4766.668            
'2015-07-01 01:45:00'    3715.683    4848.490            
'2015-07-01 01:50:00'    3459.981    5165.532            
'2015-07-01 01:55:00'    3621.658    4804.153            
'2015-07-01 02:00:00'    3624.755    4767.245            
'2015-07-01 02:05:00'    3648.825    4639.878            
'2015-07-01 02:10:00'    3590.121    4729.030            
'2015-07-01 02:15:00'    3568.290    4868.724            
'2015-07-01 02:20:00'    3502.321    4857.972            
'2015-07-01 02:25:00'    3564.900    4496.121            
'2015-07-01 02:30:00'    3487.715    4785.609            
'2015-07-01 02:35:00'    3521.530    4782.620            
'2015-07-01 02:40:00'    3525.479    4712.644            
'2015-07-01 02:45:00'    3545.803    4617.807            
'2015-07-01 02:50:00'    3498.452    4725.876            
'2015-07-01 02:55:00'    3509.246    4586.492            
'2015-07-01 03:00:00'    3503.930    4596.070            
'2015-07-01 03:05:00'    3583.718    4454.736            
'2015-07-01 03:10:00'    3535.959    4459.337            
'2015-07-01 03:15:00'    3488.311    4463.459            
'2015-07-01 03:20:00'    3618.087    4165.967            
'2015-07-01 03:25:00'    3569.006    4369.144            
'2015-07-01 03:30:00'    3528.347    4281.041            
'2015-07-01 03:35:00'    3539.013    4248.011            
'2015-07-01 03:40:00'    3613.665    3843.625            
'2015-07-01 03:45:00'    3637.499    3907.808            
'2015-07-01 03:50:00'    3634.119    4080.335            
'2015-07-01 03:55:00'    3607.891    3815.738            
'2015-07-01 04:00:00'    3564.343    3849.657            
'2015-07-01 04:05:00'    3568.971    3786.555            
'2015-07-01 04:10:00'    3568.869    4048.601            
'2015-07-01 04:15:00'    3599.145    3928.130            
'2015-07-01 04:20:00'    3549.173    3988.172            
'2015-07-01 04:25:00'    3731.727    3801.880            
'2015-07-01 04:30:00'    3705.894    3735.852            
'2015-07-01 04:35:00'    3751.794    3638.453            
'2015-07-01 04:40:00'    3856.948    3725.543            
'2015-07-01 04:45:00'    3730.699    3895.186            
'2015-07-01 04:50:00'    3936.184    3561.576            
'2015-07-01 04:55:00'    3948.506    3597.709            
'2015-07-01 05:00:00'    3926.818    3529.182            
'2015-07-01 05:05:00'    4030.236    3431.018            
'2015-07-01 05:10:00'    3914.650    3464.208            
'2015-07-01 05:15:00'    4061.429    3261.991            
'2015-07-01 05:20:00'    4094.295    3222.524            
'2015-07-01 05:25:00'    4136.578    3149.500            
'2015-07-01 05:30:00'    4176.081    2967.639            
'2015-07-01 05:35:00'    4227.826    2862.706            
'2015-07-01 05:40:00'    4157.867    2666.329            
'2015-07-01 05:45:00'    4253.365    2815.401            
'2015-07-01 05:50:00'    4377.367    2653.687            
'2015-07-01 05:55:00'    4430.165    2312.717            
'2015-07-01 06:00:00'    4349.706    2486.294            
'2015-07-01 06:05:00'    4435.622    2429.219            
'2015-07-01 06:10:00'    4478.247    2360.694            
'2015-07-01 06:15:00'    4525.734    2422.243            
'2015-07-01 06:20:00'    4706.067    2453.817            
'2015-07-01 06:25:00'    4522.063    2418.254            
'2015-07-01 06:30:00'    4673.445    2327.171            
'2015-07-01 06:35:00'    4721.721    2219.362            
'2015-07-01 06:40:00'    4934.331    2143.473            
'2015-07-01 06:45:00'    4894.495    2207.599            
'2015-07-01 06:50:00'    5123.771    1867.737            
'2015-07-01 06:55:00'    5103.918    2064.477            
'2015-07-01 07:00:00'    5135.070    1969.430            
