
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                       NGCC-New      Wind     Solar
                    !  --------  --------  --------
'2015-07-01 10:20:00'   320.000  4176.429  2121.138
'2015-07-01 10:25:00'   320.000  4293.778  2212.439
'2015-07-01 10:30:00'   320.000  4246.316  2271.973
'2015-07-01 10:35:00'   320.000  4183.464  2185.805
'2015-07-01 10:40:00'   320.000  4284.112  2205.563
'2015-07-01 10:45:00'   320.000  4370.067  2263.178
'2015-07-01 10:50:00'   320.000  4482.182  2392.752
'2015-07-01 10:55:00'   320.000  4229.017  2401.311
'2015-07-01 11:00:00'   320.000  4337.680  2433.750
'2015-07-01 11:05:00'   320.000  4181.825  2555.179
'2015-07-01 11:10:00'   320.000  4168.555  2476.669
'2015-07-01 11:15:00'   320.000  4132.847  2570.878
'2015-07-01 11:20:00'   320.000  4280.971  2512.480
'2015-07-01 11:25:00'   320.000  4209.661  2532.839
'2015-07-01 11:30:00'   320.000  4247.165  2570.854
'2015-07-01 11:35:00'   320.000  3945.913  2632.123
'2015-07-01 11:40:00'   320.000  3995.381  2554.021
'2015-07-01 11:45:00'   320.000  3892.728  2680.976
'2015-07-01 11:50:00'   320.000  3762.615  2640.424
'2015-07-01 11:55:00'   320.000  3919.650  2669.253
'2015-07-01 12:00:00'   320.000  3827.920  2708.750
'2015-07-01 12:05:00'   320.000  3847.416  2730.930
'2015-07-01 12:10:00'   320.000  3822.729  2729.918
'2015-07-01 12:15:00'   320.000  3830.275  2729.252
'2015-07-01 12:20:00'   320.000  3862.979  2664.025
'2015-07-01 12:25:00'   320.000  3841.504  2558.857
'2015-07-01 12:30:00'   320.000  3926.926  2691.277
'2015-07-01 12:35:00'   320.000  3873.912  2782.981
'2015-07-01 12:40:00'   320.000  3746.889  2557.566
'2015-07-01 12:45:00'   320.000  3842.147  2695.976
'2015-07-01 12:50:00'   320.000  3816.453  2688.916
'2015-07-01 12:55:00'   320.000  3709.223  2573.971
'2015-07-01 13:00:00'   320.000  3825.560  2610.000
'2015-07-01 13:05:00'   320.000  3812.156  2620.589
'2015-07-01 13:10:00'   320.000  3643.512  2571.799
'2015-07-01 13:15:00'   320.000  3465.515  2613.470
'2015-07-01 13:20:00'   320.000  3483.542  2594.309
'2015-07-01 13:25:00'   320.000  3367.829  2645.806
'2015-07-01 13:30:00'   320.000  3383.782  2603.714
'2015-07-01 13:35:00'   320.000  3321.094  2648.813
'2015-07-01 13:40:00'   320.000  3120.096  2515.890
'2015-07-01 13:45:00'   320.000  3159.758  2562.819
'2015-07-01 13:50:00'   320.000  3003.921  2566.081
'2015-07-01 13:55:00'   320.000  3000.914  2597.788
'2015-07-01 14:00:00'   320.000  2912.240  2593.750
'2015-07-01 14:05:00'   320.000  2863.814  2619.120
'2015-07-01 14:10:00'   320.000  2786.246  2529.370
'2015-07-01 14:15:00'   320.000  2782.081  2475.852
'2015-07-01 14:20:00'   320.000  2765.525  2390.834
'2015-07-01 14:25:00'   320.000  2736.980  2510.102
'2015-07-01 14:30:00'   350.514  2667.167  2372.520
'2015-07-01 14:35:00'   641.773  2617.316  2261.636
'2015-07-01 14:40:00'   410.862  2621.570  2344.184
'2015-07-01 14:45:00'   553.913  2601.386  2302.033
'2015-07-01 14:50:00'   572.509  2474.707  2312.806
'2015-07-01 14:55:00'   742.164  2487.939  2274.247
'2015-07-01 15:00:00'   639.408  2454.400  2222.500
'2015-07-01 15:05:00'   681.780  2423.160  2177.693
'2015-07-01 15:10:00'   960.445  2286.940  2079.052
'2015-07-01 15:15:00'   721.811  2348.901  2135.596
'2015-07-01 15:20:00'  1095.793  2223.503  2066.054
'2015-07-01 15:25:00'  1196.056  2307.492  2016.425
'2015-07-01 15:30:00'  1082.389  2230.932  2076.976
'2015-07-01 15:35:00'  1341.227  2201.349  1934.105
'2015-07-01 15:40:00'  1099.559  2189.820  1998.032
'2015-07-01 15:45:00'  1472.882  2137.358  1860.548
'2015-07-01 15:50:00'  1250.383  2139.913  1881.694
'2015-07-01 15:55:00'  1572.932  2067.166  1913.051
'2015-07-01 16:00:00'  1575.443  2015.440  1846.250
'2015-07-01 16:05:00'  1483.737  2016.593  1824.307
'2015-07-01 16:10:00'  1600.000  2017.921  1779.436
'2015-07-01 16:15:00'  1600.000  2020.902  1717.438
'2015-07-01 16:20:00'  1600.000  1984.809  1580.623
'2015-07-01 16:25:00'  1600.000  2006.573  1615.427
'2015-07-01 16:30:00'  1600.000  2062.920  1581.899
'2015-07-01 16:35:00'  1600.000  2080.754  1526.797
'2015-07-01 16:40:00'  1600.000  2091.509  1530.156
'2015-07-01 16:45:00'  1600.000  2016.706  1507.631
'2015-07-01 16:50:00'  1600.000  2161.801  1441.034
'2015-07-01 16:55:00'  1600.000  2179.701  1354.964
'2015-07-01 17:00:00'  1600.000  2109.840  1317.500
'2015-07-01 17:05:00'  1600.000  2197.526  1274.978
'2015-07-01 17:10:00'  1600.000  2187.696  1235.369
'2015-07-01 17:15:00'  1600.000  2126.691  1158.401
'2015-07-01 17:20:00'  1600.000  2193.004  1126.502
'2015-07-01 17:25:00'  1600.000  2298.045  1074.659
'2015-07-01 17:30:00'  1600.000  2362.134  1034.604
'2015-07-01 17:35:00'  1600.000  2352.979  1016.472
'2015-07-01 17:40:00'  1600.000  2302.472   966.589
'2015-07-01 17:45:00'  1600.000  2403.212   939.626
