
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New  NGCT-Old      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------  --------
'2015-07-01 09:50:00'   400.000   383.000   400.000  2659.295            1592.661   569.962
'2015-07-01 09:55:00'   400.000   383.000   400.000  2825.357            1558.858   618.510
'2015-07-01 10:00:00'   400.000   383.000   400.000  2788.973            1584.000   610.000
'2015-07-01 10:05:00'   400.000   383.000   400.000  2725.981            1579.889   623.593
'2015-07-01 10:10:00'   400.000   383.000   400.000  2742.304            1616.155   604.099
'2015-07-01 10:15:00'   400.000   383.000   400.000  2652.803    37.840  1621.364   626.731
'2015-07-01 10:20:00'   400.000   383.000   400.000  2644.453            1642.117   684.767
'2015-07-01 10:25:00'   400.000   383.000   400.000  2782.003     6.707  1554.680   610.358
'2015-07-01 10:30:00'   400.000   383.000   400.000  2988.506            1581.880   707.089
'2015-07-01 10:35:00'   400.000   383.000   400.000  2557.477            1573.070   673.202
'2015-07-01 10:40:00'   400.000   383.000   400.000  2649.826            1651.337   691.216
'2015-07-01 10:45:00'   400.000   383.000   400.000  2412.136            1660.978   737.716
'2015-07-01 10:50:00'   400.000   383.000   400.000  2505.570     6.609  1607.189   763.922
'2015-07-01 10:55:00'   400.000   383.000   400.000  2421.374            1668.483   695.929
'2015-07-01 11:00:00'   400.000   383.000   400.000  2527.024            1650.000   746.000
'2015-07-01 11:05:00'   400.000   383.000   400.000  2469.177            1690.363   696.189
'2015-07-01 11:10:00'   400.000   383.000   400.000  2544.941            1628.046   747.876
'2015-07-01 11:15:00'   400.000   383.000   400.000  2507.902            1622.459   736.515
'2015-07-01 11:20:00'   400.000   383.000   400.000  2438.546            1586.147   748.426
'2015-07-01 11:25:00'   400.000   383.000   400.000  2454.398            1576.887   764.711
'2015-07-01 11:30:00'   400.000   383.000   400.000  2311.422            1631.633   776.894
'2015-07-01 11:35:00'   400.000   383.000   400.000  2354.982            1474.170   778.393
'2015-07-01 11:40:00'   400.000   383.000   400.000  2471.190            1535.307   797.956
'2015-07-01 11:45:00'   400.000   383.000   400.000  2359.048            1514.744   761.611
'2015-07-01 11:50:00'   400.000   383.000   400.000  2269.918            1551.057   769.701
'2015-07-01 11:55:00'   400.000   383.000   400.000  2506.727            1507.326   797.407
'2015-07-01 12:00:00'   400.000   383.000   400.000  2281.119            1474.000   794.000
'2015-07-01 12:05:00'   400.000   383.000   400.000  2315.915            1479.042   771.530
'2015-07-01 12:10:00'   400.000   383.000   400.000  2063.332            1469.571   789.491
'2015-07-01 12:15:00'   400.000   383.000   400.000  2315.196            1485.671   794.853
'2015-07-01 12:20:00'   400.000   383.000   400.000  2324.830            1414.434   753.707
'2015-07-01 12:25:00'   400.000   383.000   400.000  2230.129            1463.353   791.638
'2015-07-01 12:30:00'   400.000   383.000   400.000  2155.018            1393.357   782.471
'2015-07-01 12:35:00'   400.000   383.000   400.000  2327.209            1509.852   753.336
'2015-07-01 12:40:00'   400.000   383.000   400.000  2080.010            1485.339   763.353
'2015-07-01 12:45:00'   400.000   383.000   400.000  2319.745            1467.385   743.681
'2015-07-01 12:50:00'   400.000   383.000   400.000  2386.839            1438.636   765.440
'2015-07-01 12:55:00'   400.000   383.000   400.000  2204.214            1448.216   785.599
'2015-07-01 13:00:00'   400.000   383.000   400.000  2264.945            1445.000   782.000
'2015-07-01 13:05:00'   400.000   383.000   400.000  2191.870            1402.189   761.031
'2015-07-01 13:10:00'   400.000   383.000   400.000  2437.453            1359.872   743.000
'2015-07-01 13:15:00'   400.000   383.000   400.000  2446.545            1350.952   771.400
'2015-07-01 13:20:00'   400.000   383.000   400.000  2280.894            1335.971   814.933
'2015-07-01 13:25:00'   400.000   383.000   400.000  2468.828            1229.023   771.277
'2015-07-01 13:30:00'   400.000   383.000   400.000  2333.028            1261.388   775.758
'2015-07-01 13:35:00'   400.000   383.000   400.000  2348.488            1270.576   824.032
'2015-07-01 13:40:00'   400.000   383.000   400.000  2395.443            1195.277   820.387
'2015-07-01 13:45:00'   400.000   383.000   400.000  2524.764            1124.446   771.785
'2015-07-01 13:50:00'   400.000   383.000   400.000  2353.025            1162.961   816.938
'2015-07-01 13:55:00'   400.000   383.000   400.000  2402.905            1080.781   868.948
'2015-07-01 14:00:00'   400.000   383.000   400.000  2478.494            1083.000   808.000
'2015-07-01 14:05:00'   400.000   383.000   400.000  2559.455            1072.551   816.377
'2015-07-01 14:10:00'   400.000   383.000   400.000  2419.157            1033.966   751.953
'2015-07-01 14:15:00'   400.000   383.000   400.000  2523.480            1044.051   768.785
'2015-07-01 14:20:00'   400.000   383.000   400.000  2519.594            1014.655   809.401
'2015-07-01 14:25:00'   400.000   383.000   400.000  2628.987            1008.081   782.516
'2015-07-01 14:30:00'   400.000   383.000   400.000  2649.158             965.255   753.905
'2015-07-01 14:35:00'   400.000   383.000   400.000  2363.816             974.130   787.930
'2015-07-01 14:40:00'   400.000   383.000   400.000  2499.440             966.703   759.544
'2015-07-01 14:45:00'   400.000   383.000   400.000  2418.757             945.471   706.758
'2015-07-01 14:50:00'   400.000   383.000   400.000  2611.161             944.829   774.640
'2015-07-01 14:55:00'   400.000   383.000   400.000  2804.923             904.779   717.196
'2015-07-01 15:00:00'   400.000   383.000   400.000  2636.250             907.000   696.000
'2015-07-01 15:05:00'   400.000   383.000   400.000  2517.417             918.976   667.394
'2015-07-01 15:10:00'   400.000   383.000   400.000  2644.809             856.851   688.051
'2015-07-01 15:15:00'   400.000   383.000   400.000  2755.735             876.052   690.892
'2015-07-01 15:20:00'   400.000   383.000   400.000  2690.458             867.337   677.184
'2015-07-01 15:25:00'   400.000   383.000   400.000  2763.577             833.424   673.795
'2015-07-01 15:30:00'   400.000   383.000   400.000  2895.981             823.877   619.214
'2015-07-01 15:35:00'   400.000   383.000   400.000  2668.556             807.328   586.592
'2015-07-01 15:40:00'   400.000   383.000   400.000  2946.632             818.412   617.787
'2015-07-01 15:45:00'   400.000   383.000   400.000  2913.702             830.648   617.498
'2015-07-01 15:50:00'   400.000   383.000   400.000  2907.010             782.890   564.498
'2015-07-01 15:55:00'   400.000   383.000   400.000  2934.784             740.108   591.293
'2015-07-01 16:00:00'   400.000   383.000   400.000  3009.335             757.000   594.000
'2015-07-01 16:05:00'   400.000   383.000   400.000  3240.600             792.347   553.828
'2015-07-01 16:10:00'   400.000   383.000   400.000  3151.809             756.906   566.588
'2015-07-01 16:15:00'   400.000   383.000   400.000  3311.054             797.541   505.062
'2015-07-01 16:20:00'   400.000   383.000   400.000  3178.109             776.540   552.425
'2015-07-01 16:25:00'   400.000   383.000   400.000  3223.704             752.616   502.882
'2015-07-01 16:30:00'   400.000   383.000   400.000  2936.499             801.914   524.203
'2015-07-01 16:35:00'   400.000   383.000   400.000  3088.619             786.218   480.999
'2015-07-01 16:40:00'   400.000   383.000   400.000  3036.192             797.209   473.942
'2015-07-01 16:45:00'   400.000   383.000   400.000  3120.198             805.113   454.055
'2015-07-01 16:50:00'   400.000   383.000   400.000  3047.797             823.554   444.830
'2015-07-01 16:55:00'   400.000   383.000   400.000  3099.848             808.401   452.616
'2015-07-01 17:00:00'   400.000   383.000   400.000  3254.201             809.000   422.000
'2015-07-01 17:05:00'   400.000   383.000   400.000  3210.970             801.750   416.717
'2015-07-01 17:10:00'   400.000   383.000   400.000  3220.013             859.483   386.541
'2015-07-01 17:15:00'   400.000   383.000   400.000  3259.277             850.597   389.019
'2015-07-01 17:20:00'   400.000   383.000   400.000  3198.385             819.983   347.593
'2015-07-01 17:25:00'   400.000   383.000   400.000  3476.655             852.962   332.807
'2015-07-01 17:30:00'   400.000   383.000   400.000  3327.522             893.516   344.142
'2015-07-01 17:35:00'   400.000   383.000   400.000  3480.276             900.783   334.934
'2015-07-01 17:40:00'   400.000   383.000   400.000  3379.580             920.245   287.029
'2015-07-01 17:45:00'   400.000   383.000   400.000  3371.206             944.747   283.096
'2015-07-01 17:50:00'   400.000   383.000   400.000  3487.148             943.465   280.098
'2015-07-01 17:55:00'   400.000   383.000   400.000  3594.759             938.801   265.210
'2015-07-01 18:00:00'   400.000   383.000   400.000  3530.457             964.000   242.000
'2015-07-01 18:05:00'   400.000   383.000   400.000  3354.914            1022.297   211.598
'2015-07-01 18:10:00'   400.000   383.000   400.000  3357.577            1038.730   209.755
'2015-07-01 18:15:00'   400.000   383.000   400.000  3503.344            1106.967   188.643
'2015-07-01 18:20:00'   400.000   383.000   400.000  3501.368            1115.362   188.497
'2015-07-01 18:25:00'   400.000   383.000   400.000  3279.850            1146.005   162.680
'2015-07-01 18:30:00'   400.000   383.000   400.000  3408.839            1230.912   143.427
'2015-07-01 18:35:00'   400.000   383.000   400.000  3372.698            1274.589   148.678
'2015-07-01 18:40:00'   400.000   383.000   400.000  3182.222            1292.324   136.288
'2015-07-01 18:45:00'   400.000   383.000   400.000  3061.999            1357.463   122.248
'2015-07-01 18:50:00'   400.000   383.000   400.000  3409.498            1370.053   105.542
'2015-07-01 18:55:00'   400.000   383.000   400.000  3399.311            1430.489    88.534
'2015-07-01 19:00:00'   400.000   383.000   400.000  3307.315            1476.000    76.000
'2015-07-01 19:05:00'   400.000   383.000   400.000  3306.615            1523.569    72.444
'2015-07-01 19:10:00'   400.000   383.000   400.000  3235.409            1606.867    61.102
'2015-07-01 19:15:00'   400.000   383.000   400.000  3159.435            1641.548    56.936
'2015-07-01 19:20:00'   400.000   383.000   400.000  3124.523            1670.120    51.482
'2015-07-01 19:25:00'   400.000   383.000   400.000  3055.310            1690.697    44.919
'2015-07-01 19:30:00'   400.000   383.000   400.000  2883.183            1818.219    38.389
'2015-07-01 19:35:00'   400.000   383.000   400.000  3200.859            1737.195    32.414
'2015-07-01 19:40:00'   400.000   383.000   400.000  3012.678            1857.683    29.853
'2015-07-01 19:45:00'   400.000   383.000   400.000  2734.197            1951.049    21.588
'2015-07-01 19:50:00'   400.000   383.000   400.000  3004.957            1918.817    15.118
'2015-07-01 19:55:00'   400.000   383.000   400.000  2912.840            1984.303     9.994
'2015-07-01 20:00:00'   400.000   383.000   400.000  2663.007            2058.000     4.000
'2015-07-01 20:05:00'   400.000   383.000   400.000  2768.522            2016.776     3.110
'2015-07-01 20:10:00'   400.000   383.000   400.000  2902.436            2029.562     2.910
'2015-07-01 20:15:00'   400.000   383.000   400.000  2467.689            2023.072     2.838
'2015-07-01 20:20:00'   400.000   383.000   400.000  2593.044            2062.816     2.809
'2015-07-01 20:25:00'   400.000   383.000   400.000  2593.457            2028.928     2.095
'2015-07-01 20:30:00'   400.000   383.000   400.000  2490.682            2133.165     2.073
'2015-07-01 20:35:00'   400.000   383.000   400.000  2448.977            1996.939     1.801
'2015-07-01 20:40:00'   400.000   383.000   400.000  2465.793            2016.756     1.427
'2015-07-01 20:45:00'   400.000   383.000   400.000  2475.211            2072.366     0.878
'2015-07-01 20:50:00'   400.000   383.000   400.000  2532.663            2025.630     0.647
'2015-07-01 20:55:00'   400.000   383.000   400.000  2271.678            2049.182     0.335
'2015-07-01 21:00:00'   400.000   383.000   400.000  2292.243            2059.000          
'2015-07-01 21:05:00'   400.000   383.000   400.000  2170.390            2050.023          
'2015-07-01 21:10:00'   400.000   383.000   400.000  2330.208            2054.299          
'2015-07-01 21:15:00'   400.000   383.000   400.000  2111.653            2127.558          
'2015-07-01 21:20:00'   400.000   383.000   400.000  2157.433            2061.476          
'2015-07-01 21:25:00'   400.000   383.000   400.000  2014.189            2132.698          
'2015-07-01 21:30:00'   400.000   383.000   400.000  1751.185            2073.977          
'2015-07-01 21:35:00'   400.000   383.000   400.000  1861.902            2107.901          
'2015-07-01 21:40:00'   400.000   383.000   400.000  2071.523            2094.841          
'2015-07-01 21:45:00'   400.000   383.000   400.000  1743.371            2149.665          
