
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 20:15:00'   700.000    19.200  1978.639  1912.828   337.500   797.100
'2015-07-01 20:30:00'   700.000    19.200  2000.000  2000.000   375.807   776.694
'2015-07-01 20:45:00'   700.000    19.200  1885.920  2000.000   337.500   820.298
'2015-07-01 21:00:00'   700.000    19.200  1890.633  1784.965   337.500   827.000
'2015-07-01 21:15:00'   700.000    19.200  1820.000  1732.251   337.500   871.253
'2015-07-01 21:30:00'   700.000    19.200  1729.167  1700.771   337.500   781.565
'2015-07-01 21:45:00'   700.000    19.200  1762.248  1599.087   337.500   808.738
'2015-07-01 22:00:00'   700.000    19.200  1556.371  1520.000   337.500   801.000
'2015-07-01 22:15:00'   700.000    19.200  1526.811  1553.329   337.500   771.393
'2015-07-01 22:30:00'   700.000    19.200  1400.000  1493.946   337.500   749.202
'2015-07-01 22:45:00'   700.000    19.200  1400.000  1049.022   337.500   787.435
'2015-07-01 23:00:00'   700.000    19.200  1400.000  1119.354   337.500   743.000
'2015-07-01 23:15:00'   700.000    19.200  1400.000   964.929   337.500   723.540
'2015-07-01 23:30:00'   700.000    19.200  1400.000   953.567   337.500   687.488
'2015-07-01 23:45:00'   700.000    19.200  1400.000   854.004   337.500   699.249
'2015-07-02 00:00:00'   592.979    19.200  1400.000   800.000   337.500   663.000
'2015-07-02 00:15:00'   645.071    19.200  1400.000   800.000   337.500   634.128
'2015-07-02 00:30:00'   700.000    19.200  1400.000   902.830   337.500   591.386
'2015-07-02 00:45:00'   572.012    19.200  1400.000   800.000   337.500   574.236
'2015-07-02 01:00:00'   657.591    19.200  1400.000   800.000   337.500   538.000
'2015-07-02 01:15:00'   577.872    19.200  1400.000   800.000   337.500   533.961
'2015-07-02 01:30:00'   672.456    19.200  1400.000   800.000   337.500   479.672
'2015-07-02 01:45:00'   700.000    19.200  1400.000   805.281   337.500   444.768
'2015-07-02 02:00:00'   631.132    19.200  1400.000   800.000   337.500   441.000
'2015-07-02 02:15:00'   603.978    19.200  1400.000   800.000   337.500   413.052
'2015-07-02 02:30:00'   695.148    19.200  1400.000   800.000   337.500   409.633
'2015-07-02 02:45:00'   644.339    19.200  1400.000   800.000   337.500   374.706
'2015-07-02 03:00:00'   582.554    19.200  1400.000   800.000   337.500   365.000
'2015-07-02 03:15:00'   630.199    19.200  1400.000   800.000   337.500   334.237
'2015-07-02 03:30:00'   696.284    19.200  1400.000   800.000   337.500   319.930
'2015-07-02 03:45:00'   672.219    19.200  1400.000   800.000   337.500   338.263
'2015-07-02 04:00:00'   700.000    19.200  1400.000   807.513   337.500   305.000
'2015-07-02 04:15:00'   700.000    19.200  1400.000   900.998   337.500   289.229
'2015-07-02 04:30:00'   700.000    19.200  1400.000  1164.543   337.500   270.957
'2015-07-02 04:45:00'   700.000    19.200  1400.000  1098.455   337.500   244.463
'2015-07-02 05:00:00'   700.000    19.200  1400.000  1222.489   337.500   243.000
'2015-07-02 05:15:00'   700.000    19.200  1400.000  1322.198   337.500   236.665
'2015-07-02 05:30:00'   700.000    19.200  1407.049  1479.133   337.500   217.062
'2015-07-02 05:45:00'   700.000    19.200  1422.065  1493.439   337.500   202.124
'2015-07-02 06:00:00'   700.000    19.200  1545.454  1550.830   337.500   186.000
'2015-07-02 06:15:00'   700.000    19.200  1651.692  1579.068   337.500   172.412
'2015-07-02 06:30:00'   700.000    19.200  1820.000  1682.828   337.500   155.331
'2015-07-02 06:45:00'   700.000    19.200  1820.000  1758.220   337.500   158.958
'2015-07-02 07:00:00'   700.000    19.200  1944.723  2000.000   337.500   138.000
'2015-07-02 07:15:00'   700.000    19.200  2000.000  2000.000   630.567   121.975
'2015-07-02 07:30:00'   700.000    38.519  2000.000  2000.000   675.000   112.131
'2015-07-02 07:45:00'   700.000    48.000  2000.000  2000.000   675.000   103.390
'2015-07-02 08:00:00'   700.000    48.000  2000.000  2000.000   675.000    85.000
'2015-07-02 08:15:00'   700.000    48.000  2000.000  2000.000   675.000    87.171
'2015-07-02 08:30:00'   700.000    48.000  2000.000  2000.000   675.000    90.620
'2015-07-02 08:45:00'   700.000    48.000  2000.000  2000.000   675.000    87.038
'2015-07-02 09:00:00'   700.000    48.000  2000.000  2000.000   675.000    94.000
'2015-07-02 09:15:00'   700.000    48.000  2000.000  2000.000   675.000    74.273
'2015-07-02 09:30:00'   700.000    48.000  2000.000  2000.000   675.000    66.184
'2015-07-02 09:45:00'   700.000    48.000  2000.000  2000.000   675.000    46.969
'2015-07-02 10:00:00'   700.000    48.000  2000.000  2000.000   675.000    34.000
'2015-07-02 10:15:00'   700.000    48.000  2000.000  2000.000   675.000    42.051
'2015-07-02 10:30:00'   700.000    48.000  2000.000  2000.000   675.000    40.911
'2015-07-02 10:45:00'   700.000    48.000  2000.000  2000.000   675.000    49.202
'2015-07-02 11:00:00'   700.000    48.000  2000.000  2000.000   675.000    54.000
'2015-07-02 11:15:00'   700.000    48.000  2000.000  2000.000   675.000    51.157
'2015-07-02 11:30:00'   700.000    48.000  2000.000  2000.000   675.000    51.813
'2015-07-02 11:45:00'   700.000    48.000  2000.000  2000.000   675.000    57.038
'2015-07-02 12:00:00'   700.000    48.000  2000.000  2000.000   675.000    54.000
'2015-07-02 12:15:00'   700.000    48.000  2000.000  2000.000   675.000    56.888
'2015-07-02 12:30:00'   700.000    48.000  2000.000  2000.000   675.000    70.829
'2015-07-02 12:45:00'   700.000    48.000  2000.000  2000.000   675.000    83.211
'2015-07-02 13:00:00'   700.000    48.000  2000.000  2000.000   675.000    87.000
'2015-07-02 13:15:00'   700.000    19.200  2000.000  2000.000   672.093    75.263
'2015-07-02 13:30:00'   700.000    19.200  2000.000  2000.000   541.443    82.537
'2015-07-02 13:45:00'   700.000    37.400  2000.000  2000.000   675.000    78.720
'2015-07-02 14:00:00'   700.000    19.200  2000.000  2000.000   636.981    75.000
'2015-07-02 14:15:00'   700.000    19.200  2000.000  2000.000   659.848    76.629
'2015-07-02 14:30:00'   700.000    19.200  2000.000  2000.000   644.525    83.915
'2015-07-02 14:45:00'   700.000    19.200  2000.000  2000.000   545.300    90.494
'2015-07-02 15:00:00'   700.000    19.200  2000.000  2000.000   506.656    86.000
'2015-07-02 15:15:00'   700.000    19.200  2000.000  2000.000   639.208    94.431
'2015-07-02 15:30:00'   700.000    19.200  2000.000  2000.000   448.076   104.098
'2015-07-02 15:45:00'   700.000    19.200  2000.000  2000.000   612.942   111.341
'2015-07-02 16:00:00'   700.000    19.200  2000.000  2000.000   589.891   122.000
'2015-07-02 16:15:00'   700.000    19.200  2000.000  2000.000   599.993   132.906
'2015-07-02 16:30:00'   700.000    48.000  2000.000  2000.000   675.000   126.497
'2015-07-02 16:45:00'   700.000    35.952  2000.000  2000.000   675.000   139.679
'2015-07-02 17:00:00'   700.000    40.588  2000.000  2000.000   675.000   136.000
'2015-07-02 17:15:00'   700.000    48.000  2000.000  2000.000   675.000   169.670
'2015-07-02 17:30:00'   700.000    48.000  2000.000  2000.000   675.000   171.695
'2015-07-02 17:45:00'   700.000    48.000  2000.000  2000.000   675.000   188.726
'2015-07-02 18:00:00'   700.000    48.000  2000.000  2000.000   675.000   210.000
'2015-07-02 18:15:00'   700.000    48.000  2000.000  2000.000   675.000   250.804
'2015-07-02 18:30:00'   700.000    42.948  2000.000  2000.000   675.000   288.209
'2015-07-02 18:45:00'   700.000    48.000  2000.000  2000.000   675.000   323.703
'2015-07-02 19:00:00'   700.000    48.000  2000.000  2000.000   675.000   354.000
'2015-07-02 19:15:00'   700.000    48.000  2000.000  2000.000   675.000   394.880
'2015-07-02 19:30:00'   700.000    19.200  2000.000  2000.000   639.846   429.221
'2015-07-02 19:45:00'   700.000    19.200  2000.000  2000.000   557.229   487.770
'2015-07-02 20:00:00'   700.000    19.200  2000.000  2000.000   550.177   536.000
'2015-07-02 20:15:00'   700.000    19.200  2000.000  2000.000   404.388   517.074
'2015-07-02 20:30:00'   700.000    19.200  2000.000  2000.000   502.456   503.020
'2015-07-02 20:45:00'   700.000    19.200  1888.431  2000.000   337.500   417.005
'2015-07-02 21:00:00'   700.000    19.200  1990.961  2000.000   337.500   399.000
'2015-07-02 21:15:00'   700.000    19.200  1874.648  1998.361   337.500   414.282
'2015-07-02 21:30:00'   700.000    19.200  1950.920  1986.419   337.500   371.286
'2015-07-02 21:45:00'   700.000    19.200  1825.138  1798.429   337.500   391.777
'2015-07-02 22:00:00'   700.000    19.200  1778.894  1593.850   337.500   395.000
'2015-07-02 22:15:00'   700.000    19.200  1554.227  1520.000   337.500   409.682
'2015-07-02 22:30:00'   700.000    19.200  1480.014  1520.000   337.500   437.718
'2015-07-02 22:45:00'   700.000    19.200  1400.000  1381.724   337.500   454.405
'2015-07-02 23:00:00'   700.000    19.200  1400.000  1297.041   337.500   471.000
'2015-07-02 23:15:00'   700.000    19.200  1400.000  1177.963   337.500   473.427
