
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 09:50:00'   400.000   383.000   400.000  2624.931  1544.754   601.668
'2015-07-01 09:55:00'   400.000   383.000   400.000  2724.712  1566.897   594.389
'2015-07-01 10:00:00'   400.000   383.000   400.000  2664.259  1584.000   610.000
'2015-07-01 10:05:00'   400.000   383.000   400.000  2704.501  1676.090   607.364
'2015-07-01 10:10:00'   400.000   383.000   400.000  2599.696  1609.947   635.615
'2015-07-01 10:15:00'   400.000   383.000   400.000  2577.839  1618.725   605.201
'2015-07-01 10:20:00'   400.000   383.000   400.000  2643.461  1575.988   655.531
'2015-07-01 10:25:00'   400.000   383.000   400.000  2777.115  1586.660   653.785
'2015-07-01 10:30:00'   400.000   383.000   400.000  2516.926  1596.509   724.663
'2015-07-01 10:35:00'   400.000   383.000   400.000  2471.650  1671.072   666.240
'2015-07-01 10:40:00'   400.000   383.000   400.000  2420.400  1604.558   687.939
'2015-07-01 10:45:00'   400.000   383.000   400.000  2476.394  1615.596   682.893
'2015-07-01 10:50:00'   400.000   383.000   400.000  2413.882  1605.131   690.516
'2015-07-01 10:55:00'   400.000   383.000   400.000  2200.703  1665.474   709.525
'2015-07-01 11:00:00'   400.000   383.000   400.000  2401.846  1650.000   746.000
'2015-07-01 11:05:00'   400.000   383.000   400.000  2269.079  1661.921   768.998
'2015-07-01 11:10:00'   400.000   383.000   400.000  2429.213  1597.336   712.813
'2015-07-01 11:15:00'   400.000   383.000   400.000  2248.246  1684.110   740.153
'2015-07-01 11:20:00'   400.000   383.000   400.000  2345.742  1594.522   743.127
'2015-07-01 11:25:00'   400.000   383.000   400.000  2293.244  1562.716   783.867
'2015-07-01 11:30:00'   400.000   383.000   400.000  2236.704  1545.782   724.260
'2015-07-01 11:35:00'   400.000   383.000   400.000  2128.421  1536.750   775.348
'2015-07-01 11:40:00'   400.000   383.000   400.000  2273.223  1514.531   750.730
'2015-07-01 11:45:00'   400.000   383.000   400.000  2294.827  1563.682   815.060
'2015-07-01 11:50:00'   400.000   383.000   400.000  2192.060  1493.426   800.651
'2015-07-01 11:55:00'   400.000   383.000   400.000  2373.383  1490.541   788.653
'2015-07-01 12:00:00'   400.000   383.000   400.000  2167.371  1474.000   794.000
'2015-07-01 12:05:00'   400.000   383.000   400.000  2203.137  1474.048   808.611
'2015-07-01 12:10:00'   400.000   383.000   400.000  2153.825  1468.219   809.731
'2015-07-01 12:15:00'   400.000   383.000   400.000  2235.235  1453.687   785.360
'2015-07-01 12:20:00'   400.000   383.000   400.000  2192.291  1452.026   811.234
'2015-07-01 12:25:00'   400.000   383.000   400.000  2219.357  1494.049   773.234
'2015-07-01 12:30:00'   400.000   383.000   400.000  2125.049  1442.397   791.676
'2015-07-01 12:35:00'   400.000   383.000   400.000  2107.114  1462.506   762.881
'2015-07-01 12:40:00'   400.000   383.000   400.000  2191.934  1487.223   766.851
'2015-07-01 12:45:00'   400.000   383.000   400.000  2246.267  1432.564   744.759
'2015-07-01 12:50:00'   400.000   383.000   400.000  2228.879  1448.375   765.085
'2015-07-01 12:55:00'   400.000   383.000   400.000  2077.989  1506.060   809.080
'2015-07-01 13:00:00'   400.000   383.000   400.000  2147.958  1445.000   782.000
'2015-07-01 13:05:00'   400.000   383.000   400.000  1941.160  1480.851   773.312
'2015-07-01 13:10:00'   400.000   383.000   400.000  2080.768  1411.298   772.617
'2015-07-01 13:15:00'   400.000   383.000   400.000  2288.301  1333.282   850.666
'2015-07-01 13:20:00'   400.000   383.000   400.000  2048.188  1407.067   781.132
'2015-07-01 13:25:00'   400.000   383.000   400.000  2214.606  1279.914   803.101
'2015-07-01 13:30:00'   400.000   383.000   400.000  2151.164  1291.741   821.711
'2015-07-01 13:35:00'   400.000   383.000   400.000  2189.664  1228.771   851.220
'2015-07-01 13:40:00'   400.000   383.000   400.000  2377.491  1233.733   817.002
'2015-07-01 13:45:00'   400.000   383.000   400.000  2257.668  1166.125   813.123
'2015-07-01 13:50:00'   400.000   383.000   400.000  2201.606  1151.663   749.510
'2015-07-01 13:55:00'   400.000   383.000   400.000  2477.463  1125.852   825.969
'2015-07-01 14:00:00'   400.000   383.000   400.000  2363.133  1083.000   808.000
'2015-07-01 14:05:00'   400.000   383.000   400.000  2457.665  1066.418   834.410
'2015-07-01 14:10:00'   400.000   383.000   400.000  2381.636  1069.190   779.297
'2015-07-01 14:15:00'   400.000   383.000   400.000  2526.227  1010.377   793.671
'2015-07-01 14:20:00'   400.000   383.000   400.000  2341.291  1046.100   780.134
'2015-07-01 14:25:00'   400.000   383.000   400.000  2425.986  1009.262   785.924
'2015-07-01 14:30:00'   400.000   383.000   400.000  2482.589  1000.452   804.316
'2015-07-01 14:35:00'   400.000   383.000   400.000  2516.476   973.508   691.432
'2015-07-01 14:40:00'   400.000   383.000   400.000  2519.305   951.331   728.635
'2015-07-01 14:45:00'   400.000   383.000   400.000  2258.299   977.669   758.259
'2015-07-01 14:50:00'   400.000   383.000   400.000  2489.438   959.279   724.918
'2015-07-01 14:55:00'   400.000   383.000   400.000  2373.143   920.081   692.421
'2015-07-01 15:00:00'   400.000   383.000   400.000  2530.308   907.000   696.000
'2015-07-01 15:05:00'   400.000   383.000   400.000  2661.630   883.833   690.960
'2015-07-01 15:10:00'   400.000   383.000   400.000  2356.614   890.622   662.236
'2015-07-01 15:15:00'   400.000   383.000   400.000  2460.232   856.924   691.483
'2015-07-01 15:20:00'   400.000   383.000   400.000  2823.154   860.263   632.491
'2015-07-01 15:25:00'   400.000   383.000   400.000  2541.268   831.746   663.894
'2015-07-01 15:30:00'   400.000   383.000   400.000  2620.835   826.734   635.968
'2015-07-01 15:35:00'   400.000   383.000   400.000  2821.340   822.310   616.375
'2015-07-01 15:40:00'   400.000   383.000   400.000  2783.540   814.685   568.315
'2015-07-01 15:45:00'   400.000   383.000   400.000  2786.039   821.036   637.751
'2015-07-01 15:50:00'   400.000   383.000   400.000  2841.968   768.521   623.060
'2015-07-01 15:55:00'   400.000   383.000   400.000  3003.963   781.658   569.350
'2015-07-01 16:00:00'   400.000   383.000   400.000  2903.133   757.000   594.000
'2015-07-01 16:05:00'   400.000   383.000   400.000  2837.924   777.984   593.905
'2015-07-01 16:10:00'   400.000   383.000   400.000  2839.237   776.359   562.027
'2015-07-01 16:15:00'   400.000   383.000   400.000  3029.516   775.442   568.323
'2015-07-01 16:20:00'   400.000   383.000   400.000  2973.289   812.929   558.943
