
    PO_StorageStatus(iTime,iStorageStatus) := data table 
                       Generation      Charge   Discharge
                    !  ------------  ------------  ------------
'2015-07-01 00:00:00'      9832.000                            
'2015-07-01 01:00:00'      8850.000                            
'2015-07-01 02:00:00'      8392.000                            
'2015-07-01 03:00:00'      8100.000                            
'2015-07-01 04:00:00'      7414.000                            
'2015-07-01 05:00:00'      7456.000                            
'2015-07-01 06:00:00'      6826.000        10.000              
'2015-07-01 07:00:00'      6862.000       242.500              
'2015-07-01 08:00:00'      6976.000       862.500              
'2015-07-01 09:00:00'      6844.000      1610.000              
'2015-07-01 10:00:00'      7518.000      2162.500              
'2015-07-01 11:00:00'      7584.000      2645.000              
'2015-07-01 12:00:00'      6746.000      2970.000              
'2015-07-01 13:00:00'      5902.000      2832.500              
'2015-07-01 14:00:00'      4200.000      2782.500              
'2015-07-01 15:00:00'      3478.000      2390.000              
'2015-07-01 16:00:00'      3016.000      1985.000       436.133
'2015-07-01 17:00:00'      3322.000      1412.500       823.458
'2015-07-01 18:00:00'      3836.000       845.000      1118.609
'2015-07-01 19:00:00'      5828.000       257.500              
'2015-07-01 20:00:00'      8188.000        10.000              
'2015-07-01 21:00:00'      8098.000                            
'2015-07-01 22:00:00'      9038.000                            
'2015-07-01 23:00:00'      9142.000                            
'2015-07-02 00:00:00'      7776.000                            
'2015-07-02 01:00:00'      7358.000                            
'2015-07-02 02:00:00'      6614.000                            
'2015-07-02 03:00:00'      5762.000                            
'2015-07-02 04:00:00'      4868.000                            
'2015-07-02 05:00:00'      4688.000                            
'2015-07-02 06:00:00'      4586.000         5.000              
'2015-07-02 07:00:00'      3098.000       240.000      1692.273
'2015-07-02 08:00:00'      1868.000       802.500      2951.570
'2015-07-02 09:00:00'      1776.000      1547.500      2535.288
'2015-07-02 10:00:00'      1062.000      2012.500      2843.468
'2015-07-02 11:00:00'      1298.000      2647.500      1913.288
'2015-07-02 12:00:00'      1124.000      2930.000      1449.710
'2015-07-02 13:00:00'      1084.000      2970.000      1390.531
'2015-07-02 14:00:00'      1052.000      2845.000      1429.171
'2015-07-02 15:00:00'      1032.000      2565.000      1610.812
'2015-07-02 16:00:00'      1112.000      2162.500      2051.671
'2015-07-02 17:00:00'      1756.000      1562.500      2126.031
'2015-07-02 18:00:00'      2750.000       820.000      2111.249
'2015-07-02 19:00:00'      4196.000       282.500      1321.109
'2015-07-02 20:00:00'      6038.000        10.000              
'2015-07-02 21:00:00'      5754.000                            
'2015-07-02 22:00:00'      6300.000                            
'2015-07-02 23:00:00'      6864.000                            
'2015-07-03 00:00:00'      6150.000                            
'2015-07-03 01:00:00'      4616.000                            
'2015-07-03 02:00:00'      4066.000                            
'2015-07-03 03:00:00'      4550.000                            
'2015-07-03 04:00:00'      3664.000                            
'2015-07-03 05:00:00'      4070.000                            
'2015-07-03 06:00:00'      4166.000         5.000         1.167
'2015-07-03 07:00:00'      2158.000       252.500      2514.975
'2015-07-03 08:00:00'       926.000       917.500      3661.443
'2015-07-03 09:00:00'      1982.000      1652.500      2102.230
'2015-07-03 10:00:00'      3208.000      2200.000       386.677
'2015-07-03 11:00:00'      3542.000      2680.000              
'2015-07-03 12:00:00'      3338.000      2852.500              
'2015-07-03 13:00:00'      3714.000      3115.000              
'2015-07-03 14:00:00'      3848.000      2810.000              
'2015-07-03 15:00:00'      2818.000      2525.000              
'2015-07-03 16:00:00'      2690.000      2095.000       430.209
'2015-07-03 17:00:00'      2848.000      1587.500       895.603
'2015-07-03 18:00:00'      4012.000       910.000       640.890
'2015-07-03 19:00:00'      5226.000       267.500       185.283
'2015-07-03 20:00:00'      6516.000        10.000              
'2015-07-03 21:00:00'      7434.000                            
'2015-07-03 22:00:00'      8372.000                            
'2015-07-03 23:00:00'      7990.000                            
'2015-07-04 00:00:00'      8642.000                            
'2015-07-04 01:00:00'      8814.000                            
'2015-07-04 02:00:00'      7824.000                            
'2015-07-04 03:00:00'      7498.000                            
'2015-07-04 04:00:00'      7026.000                            
'2015-07-04 05:00:00'      6636.000                            
'2015-07-04 06:00:00'      6422.000         5.000              
'2015-07-04 07:00:00'      4694.000       250.000              
'2015-07-04 08:00:00'      3024.000       842.500        73.264
'2015-07-04 09:00:00'      2858.000      1562.500              
'2015-07-04 10:00:00'      2812.000      2057.500              
'2015-07-04 11:00:00'      1804.000      2525.000       132.901
'2015-07-04 12:00:00'       940.000      2832.500       547.000
