
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 20:30:00'   700.000    19.200  1842.483  2000.000   337.500   800.066
'2015-07-01 20:45:00'   700.000    19.200  1566.816  2000.000   337.500   758.012
'2015-07-01 21:00:00'   700.000    19.200  1553.433  2000.000   337.500   827.000
'2015-07-01 21:15:00'   700.000    19.200  1400.000  1902.941   337.500   838.519
'2015-07-01 21:30:00'   700.000    19.200  1400.000  1971.503   337.500   814.237
'2015-07-01 21:45:00'   700.000    19.200  1400.000  1787.773   337.500   784.809
'2015-07-01 22:00:00'   700.000    19.200  1400.000  1575.307   337.500   801.000
'2015-07-01 22:15:00'   700.000    19.200  1400.000  1522.961   337.500   784.898
'2015-07-01 22:30:00'   700.000    19.200  1400.000  1365.981   337.500   782.382
'2015-07-01 22:45:00'   700.000    19.200  1400.000  1179.747   337.500   829.214
'2015-07-01 23:00:00'   700.000    19.200  1400.000  1029.181   337.500   743.000
'2015-07-01 23:15:00'   700.000    19.200  1400.000  1023.015   337.500   698.844
'2015-07-01 23:30:00'   700.000    19.200  1400.000   828.659   337.500   769.035
'2015-07-01 23:45:00'   671.446    19.200  1400.000   800.000   337.500   657.667
'2015-07-02 00:00:00'   508.620    19.200  1400.000   800.000   337.500   663.000
'2015-07-02 00:15:00'   328.029    19.200  1400.000   800.000   337.500   654.709
'2015-07-02 00:30:00'   459.614    19.200  1400.000   800.000   337.500   611.102
'2015-07-02 00:45:00'   598.991    19.200  1400.000   800.000   337.500   543.344
'2015-07-02 01:00:00'   574.440    19.200  1400.000   800.000   337.500   538.000
'2015-07-02 01:15:00'   616.834    19.200  1400.000   800.000   337.500   506.932
'2015-07-02 01:30:00'   643.620    19.200  1400.000   800.000   337.500   489.406
'2015-07-02 01:45:00'   510.925    19.200  1400.000   800.000   337.500   444.413
'2015-07-02 02:00:00'   553.081    19.200  1400.000   800.000   337.500   441.000
'2015-07-02 02:15:00'   619.514    19.200  1400.000   800.000   337.500   433.669
'2015-07-02 02:30:00'   465.059    19.200  1400.000   800.000   337.500   407.163
'2015-07-02 02:45:00'   535.093    19.200  1400.000   800.000   337.500   381.783
'2015-07-02 03:00:00'   510.721    19.200  1400.000   800.000   337.500   365.000
'2015-07-02 03:15:00'   580.488    19.200  1400.000   800.000   337.500   329.981
'2015-07-02 03:30:00'   474.018    19.200  1400.000   800.000   337.500   337.312
'2015-07-02 03:45:00'   528.186    19.200  1400.000   800.000   337.500   309.296
'2015-07-02 04:00:00'   629.901    19.200  1400.000   800.000   337.500   305.000
'2015-07-02 04:15:00'   649.876    19.200  1400.000   800.000   337.500   295.222
