
    PO_StorageStatus(iTime,iStorageStatus) := data table 
                       Generation      Charge   Discharge
                    !  ----------  ----------  ----------
'2015-07-01 00:00:00'    3805.993    6026.007            
'2015-07-01 00:15:00'    3937.103    5671.864            
'2015-07-01 00:30:00'    3807.692    5542.974            
'2015-07-01 00:45:00'    3697.605    5412.209            
'2015-07-01 01:00:00'    3745.581    5104.419            
'2015-07-01 01:15:00'    3757.394    4788.434            
'2015-07-01 01:30:00'    3688.253    4876.389            
'2015-07-01 01:45:00'    3664.675    4910.517            
'2015-07-01 02:00:00'    3624.755    4767.245            
'2015-07-01 02:15:00'    3721.410    4246.892            
'2015-07-01 02:30:00'    3465.800    4769.278            
'2015-07-01 02:45:00'    3415.147    4759.278            
'2015-07-01 03:00:00'    3503.930    4596.070            
'2015-07-01 03:15:00'    3478.939    4566.830            
'2015-07-01 03:30:00'    3454.046    4272.002            
'2015-07-01 03:45:00'    3512.494    4251.596            
'2015-07-01 04:00:00'    3564.343    3849.657            
'2015-07-01 04:15:00'    3645.490    3854.483            
'2015-07-01 04:30:00'    3714.390    3575.076            
'2015-07-01 04:45:00'    3714.245    3615.642            
'2015-07-01 05:00:00'    3926.818    3529.182            
'2015-07-01 05:15:00'    4045.137    3069.727            
'2015-07-01 05:30:00'    4227.787    2889.450            
'2015-07-01 05:45:00'    4228.139    2853.528            
'2015-07-01 06:00:00'    4349.706    2486.294            
'2015-07-01 06:15:00'    4514.385    2263.513            
'2015-07-01 06:30:00'    4653.785    2266.564            
'2015-07-01 06:45:00'    4930.356    2117.027            
'2015-07-01 07:00:00'    5135.070    1969.430            
'2015-07-01 07:15:00'    5360.436    1936.111            
'2015-07-01 07:30:00'    5595.039    1975.860            
'2015-07-01 07:45:00'    5447.309    2164.315            
'2015-07-01 08:00:00'    5739.196    2099.304            
'2015-07-01 08:15:00'    5835.224    2135.292            
'2015-07-01 08:30:00'    5934.718    2323.949            
'2015-07-01 08:45:00'    5940.016    2316.743            
'2015-07-01 09:00:00'    5980.846    2473.154            
'2015-07-01 09:15:00'    5848.184    2804.075            
'2015-07-01 09:30:00'    6166.369    2912.624            
'2015-07-01 09:45:00'    5968.256    3480.975            
'2015-07-01 10:00:00'    6041.259    3639.241            
'2015-07-01 10:15:00'    6115.319    3808.869            
'2015-07-01 10:30:00'    5974.838    3925.950            
'2015-07-01 10:45:00'    6054.073    4088.561            
'2015-07-01 11:00:00'    5980.846    4248.154            
'2015-07-01 11:15:00'    5737.444    4358.808            
'2015-07-01 11:30:00'    5665.612    4298.134            
'2015-07-01 11:45:00'    5756.584    4206.648            
'2015-07-01 12:00:00'    5618.371    4097.629            
'2015-07-01 12:15:00'    5835.171    3492.947            
'2015-07-01 12:30:00'    5501.616    3680.684            
'2015-07-01 12:45:00'    5498.699    3439.102            
'2015-07-01 13:00:00'    5557.958    3176.542            
'2015-07-01 13:15:00'    5621.352    2862.964            
'2015-07-01 13:30:00'    5437.110    2565.424            
'2015-07-01 13:45:00'    5431.024    1952.760            
'2015-07-01 14:00:00'    5437.133    1545.367            
'2015-07-01 14:15:00'    5310.122    1373.758            
'2015-07-01 14:30:00'    5222.175    1168.294            
'2015-07-01 14:45:00'    5470.105     710.833            
'2015-07-01 15:00:00'    5316.308     551.692            
'2015-07-01 15:15:00'    5318.330     268.855            
'2015-07-01 15:30:00'    5138.497     310.123            
'2015-07-01 15:45:00'    5217.629                 336.512
'2015-07-01 16:00:00'    5001.000                 436.133
'2015-07-01 16:15:00'    4841.903                 605.742
'2015-07-01 16:30:00'    4800.979                 719.077
'2015-07-01 16:45:00'    4734.832                 868.356
'2015-07-01 17:00:00'    4734.500                 823.458
'2015-07-01 17:15:00'    4626.283                 995.368
'2015-07-01 17:30:00'    4785.794                 887.594
'2015-07-01 17:45:00'    4580.400                1155.027
'2015-07-01 18:00:00'    4681.000                1118.609
'2015-07-01 18:15:00'    5044.131                 454.029
'2015-07-01 18:30:00'    5539.166                 489.136
'2015-07-01 18:45:00'    5804.322                 231.419
'2015-07-01 19:00:00'    5920.434     165.066            
'2015-07-01 19:15:00'    6001.305     691.958            
'2015-07-01 19:30:00'    5731.059    1325.212            
'2015-07-01 19:45:00'    5908.943    1789.729            
'2015-07-01 20:00:00'    5799.609    2398.391            
'2015-07-01 20:15:00'    5692.229    2565.599            
'2015-07-01 20:30:00'    5599.136    2384.507            
'2015-07-01 20:45:00'    5564.598    2623.812            
'2015-07-01 21:00:00'    5437.133    2660.867            
'2015-07-01 21:15:00'    5151.552    3205.154            
