
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 09:50:00'   400.000   383.000   400.000  2413.570  1578.762   625.828
'2015-07-01 09:55:00'   400.000   383.000   400.000  2592.386  1579.665   575.847
'2015-07-01 10:00:00'   400.000   383.000   400.000  2664.259  1584.000   610.000
'2015-07-01 10:05:00'   400.000   383.000   400.000  2801.880  1472.003   619.429
'2015-07-01 10:10:00'   400.000   383.000   400.000  2662.574  1652.242   664.099
'2015-07-01 10:15:00'   400.000   383.000   400.000  2579.018  1666.530   638.367
'2015-07-01 10:20:00'   400.000   383.000   400.000  2433.519  1665.245   657.846
'2015-07-01 10:25:00'   400.000   383.000   400.000  2493.247  1622.699   693.748
'2015-07-01 10:30:00'   400.000   383.000   400.000  2673.629  1662.238   644.088
'2015-07-01 10:35:00'   400.000   383.000   400.000  2720.485  1567.690   683.458
'2015-07-01 10:40:00'   400.000   383.000   400.000  2443.489  1635.758   683.901
'2015-07-01 10:45:00'   400.000   383.000   400.000  2515.341  1674.261   691.116
'2015-07-01 10:50:00'   400.000   383.000   400.000  2324.331  1677.561   733.349
'2015-07-01 10:55:00'   400.000   383.000   400.000  2517.816  1626.541   689.001
'2015-07-01 11:00:00'   400.000   383.000   400.000  2401.846  1650.000   746.000
'2015-07-01 11:05:00'   400.000   383.000   400.000  2473.990  1602.062   710.927
'2015-07-01 11:10:00'   400.000   383.000   400.000  2487.416  1600.663   739.191
'2015-07-01 11:15:00'   400.000   383.000   400.000  2479.799  1606.802   733.947
'2015-07-01 11:20:00'   400.000   383.000   400.000  2396.941  1559.045   810.919
'2015-07-01 11:25:00'   400.000   383.000   400.000  2283.706  1572.598   708.787
'2015-07-01 11:30:00'   400.000   383.000   400.000  2303.008  1548.683   721.400
'2015-07-01 11:35:00'   400.000   383.000   400.000  2092.953  1530.494   786.938
'2015-07-01 11:40:00'   400.000   383.000   400.000  2119.642  1535.119   772.336
'2015-07-01 11:45:00'   400.000   383.000   400.000  2267.034  1591.613   781.532
'2015-07-01 11:50:00'   400.000   383.000   400.000  2173.161  1501.924   822.264
'2015-07-01 11:55:00'   400.000   383.000   400.000  2170.714  1498.150   790.763
'2015-07-01 12:00:00'   400.000   383.000   400.000  2167.371  1474.000   794.000
'2015-07-01 12:05:00'   400.000   383.000   400.000  2137.481  1532.047   823.852
'2015-07-01 12:10:00'   400.000   383.000   400.000  2123.876  1520.602   824.862
'2015-07-01 12:15:00'   400.000   383.000   400.000  2182.107  1462.082   832.188
'2015-07-01 12:20:00'   400.000   383.000   400.000  2219.058  1523.868   766.277
'2015-07-01 12:25:00'   400.000   383.000   400.000  2238.578  1421.987   813.940
'2015-07-01 12:30:00'   400.000   383.000   400.000  2131.544  1478.497   808.634
'2015-07-01 12:35:00'   400.000   383.000   400.000  2301.219  1434.781   795.290
'2015-07-01 12:40:00'   400.000   383.000   400.000  2286.220  1468.857   801.995
